"Sample" "Family.ID" "Population" "Population.Description" "Gender" "Relationship" "superpop"
"1634" "HG03062" "SL04" "MSL" "Mende in Sierra Leone" "male" "child" "AFR"
"1635" "HG03063" "SL05" "MSL" "Mende in Sierra Leone" "male" "father" "AFR"
"1636" "HG03064" "SL05" "MSL" "Mende in Sierra Leone" "female" "mother" "AFR"
"1637" "HG03065" "SL05" "MSL" "Mende in Sierra Leone" "male" "child" "AFR"
"1638" "HG03066" "SL06" "MSL" "Mende in Sierra Leone" "male" "father" "AFR"
"1639" "HG03069" "SL07" "MSL" "Mende in Sierra Leone" "male" "father" "AFR"
"1640" "HG03072" "SL08" "MSL" "Mende in Sierra Leone" "male" "father" "AFR"
"1641" "HG03073" "SL08" "MSL" "Mende in Sierra Leone" "female" "mother" "AFR"
"1642" "HG03074" "HG03074" "MSL" "Mende in Sierra Leone" "male" "unrel" "AFR"
"1643" "HG03076" "SL09" "MSL" "Mende in Sierra Leone" "female" "mother" "AFR"
"1644" "HG03077" "HG03077" "MSL" "Mende in Sierra Leone" "male" "unrel" "AFR"
"1645" "HG03078" "HG03078" "MSL" "Mende in Sierra Leone" "male" "unrel" "AFR"
"1646" "HG03079" "SL10" "MSL" "Mende in Sierra Leone" "female" "mother" "AFR"
"1647" "HG03080" "SL10" "MSL" "Mende in Sierra Leone" "female" "child" "AFR"
"1648" "HG03081" "SL11" "MSL" "Mende in Sierra Leone" "male" "father" "AFR"
"1649" "HG03082" "SL11" "MSL" "Mende in Sierra Leone" "female" "mother" "AFR"
"1650" "HG03084" "HG03084" "MSL" "Mende in Sierra Leone" "male" "unrels" "AFR"
"1651" "HG03085" "HG03085" "MSL" "Mende in Sierra Leone" "female" "unrels" "AFR"
"1652" "HG03086" "HG03086" "MSL" "Mende in Sierra Leone" "female" "unrel" "AFR"
"1653" "HG03088" "SL13" "MSL" "Mende in Sierra Leone" "female" "mother" "AFR"
"1654" "HG03091" "SL14" "MSL" "Mende in Sierra Leone" "female" "mother" "AFR"
"1655" "HG03095" "SL15" "MSL" "Mende in Sierra Leone" "female" "child" "AFR"
"1656" "HG03096" "SL16" "MSL" "Mende in Sierra Leone" "male" "father" "AFR"
"1657" "HG03097" "SL16" "MSL" "Mende in Sierra Leone" "female" "mother" "AFR"
"1658" "HG03098" "SL16" "MSL" "Mende in Sierra Leone" "male" "child" "AFR"
"1659" "HG03099" "NG26" "ESN" "Esan in Nigeria" "female" "mother" "AFR"
"1660" "HG03100" "NG26" "ESN" "Esan in Nigeria" "male" "father" "AFR"
"1661" "HG03101" "NG26" "ESN" "Esan in Nigeria" "male" "child" "AFR"
"1662" "HG03103" "NG27" "ESN" "Esan in Nigeria" "male" "father" "AFR"
"1663" "HG03104" "NG27" "ESN" "Esan in Nigeria" "female" "child" "AFR"
"1664" "HG03105" "NG28" "ESN" "Esan in Nigeria" "female" "mother" "AFR"
"1665" "HG03107" "NG28" "ESN" "Esan in Nigeria" "female" "child" "AFR"
"1666" "HG03108" "NG29" "ESN" "Esan in Nigeria" "female" "mother" "AFR"
"1667" "HG03109" "NG29" "ESN" "Esan in Nigeria" "male" "father" "AFR"
"1668" "HG03110" "NG29" "ESN" "Esan in Nigeria" "female" "child" "AFR"
"1669" "HG03111" "NG30" "ESN" "Esan in Nigeria" "female" "mother" "AFR"
"1670" "HG03112" "NG30" "ESN" "Esan in Nigeria" "male" "father" "AFR"
"1671" "HG03113" "NG30" "ESN" "Esan in Nigeria" "female" "child" "AFR"
"1672" "HG03114" "NG31" "ESN" "Esan in Nigeria" "female" "mother" "AFR"
"1673" "HG03115" "NG31" "ESN" "Esan in Nigeria" "male" "father" "AFR"
"1674" "HG03116" "NG31" "ESN" "Esan in Nigeria" "female" "child" "AFR"
"1675" "HG03117" "NG32" "ESN" "Esan in Nigeria" "female" "mother" "AFR"
"1676" "HG03118" "NG32" "ESN" "Esan in Nigeria" "male" "father" "AFR"
"1677" "HG03119" "NG32" "ESN" "Esan in Nigeria" "female" "child" "AFR"
"1678" "HG03120" "NG33" "ESN" "Esan in Nigeria" "male" "father" "AFR"
"1679" "HG03121" "NG33" "ESN" "Esan in Nigeria" "female" "mother" "AFR"
"1680" "HG03122" "NG33" "ESN" "Esan in Nigeria" "male" "child" "AFR"
"1681" "HG03123" "NG34" "ESN" "Esan in Nigeria" "female" "mother" "AFR"
"1682" "HG03124" "NG34" "ESN" "Esan in Nigeria" "male" "father" "AFR"
"1683" "HG03125" "NG34" "ESN" "Esan in Nigeria" "female" "child" "AFR"
"1684" "HG03126" "NG35" "ESN" "Esan in Nigeria" "female" "mother" "AFR"
"1685" "HG03127" "NG35" "ESN" "Esan in Nigeria" "male" "father" "AFR"
"1686" "HG03128" "NG35" "ESN" "Esan in Nigeria" "male" "child" "AFR"
"1687" "HG03129" "NG36" "ESN" "Esan in Nigeria" "female" "mother" "AFR"
"1688" "HG03130" "NG36" "ESN" "Esan in Nigeria" "male" "father" "AFR"
"1689" "HG03131" "NG36" "ESN" "Esan in Nigeria" "male" "child" "AFR"
"1690" "HG03132" "NG37" "ESN" "Esan in Nigeria" "female" "mother" "AFR"
"1691" "HG03133" "NG37" "ESN" "Esan in Nigeria" "male" "father" "AFR"
"1692" "HG03134" "NG37" "ESN" "Esan in Nigeria" "male" "child" "AFR"
"1693" "HG03135" "NG38" "ESN" "Esan in Nigeria" "female" "mother" "AFR"
"1694" "HG03136" "NG38" "ESN" "Esan in Nigeria" "male" "father" "AFR"
"1695" "HG03137" "NG38" "ESN" "Esan in Nigeria" "male" "child" "AFR"
"1696" "HG03139" "NG39" "ESN" "Esan in Nigeria" "male" "father" "AFR"
"1697" "HG03140" "NG39" "ESN" "Esan in Nigeria" "female" "child" "AFR"
"1698" "HG03157" "NG45" "ESN" "Esan in Nigeria" "male" "father" "AFR"
"1699" "HG03158" "NG45" "ESN" "Esan in Nigeria" "female" "child" "AFR"
"1700" "HG03159" "NG46" "ESN" "Esan in Nigeria" "female" "mother" "AFR"
"1701" "HG03160" "NG46" "ESN" "Esan in Nigeria" "male" "father" "AFR"
"1702" "HG03161" "NG46" "ESN" "Esan in Nigeria" "male" "child" "AFR"
"1703" "HG03162" "NG47" "ESN" "Esan in Nigeria" "female" "mother" "AFR"
"1704" "HG03163" "NG47" "ESN" "Esan in Nigeria" "male" "father" "AFR"
"1705" "HG03164" "NG47" "ESN" "Esan in Nigeria" "female" "child" "AFR"
"1706" "HG03166" "NG48" "ESN" "Esan in Nigeria" "male" "father" "AFR"
"1707" "HG03167" "NG48" "ESN" "Esan in Nigeria" "male" "child" "AFR"
"1708" "HG03168" "NG49" "ESN" "Esan in Nigeria" "female" "mother" "AFR"
"1709" "HG03169" "NG49" "ESN" "Esan in Nigeria" "male" "father" "AFR"
"1710" "HG03170" "NG49" "ESN" "Esan in Nigeria" "male" "child" "AFR"
"1711" "HG03171" "HG03171" "ESN" "Esan in Nigeria" "female" "unrel" "AFR"
"1712" "HG03172" "NG50" "ESN" "Esan in Nigeria" "male" "father" "AFR"
"1713" "HG03173" "NG50" "ESN" "Esan in Nigeria" "male" "child" "AFR"
"1714" "HG03175" "NG51" "ESN" "Esan in Nigeria" "male" "father" "AFR"
"1715" "HG03176" "NG51" "ESN" "Esan in Nigeria" "male" "child" "AFR"
"1716" "HG03189" "NG56" "ESN" "Esan in Nigeria" "female" "mother" "AFR"
"1717" "HG03190" "NG56" "ESN" "Esan in Nigeria" "male" "father" "AFR"
"1718" "HG03191" "NG56" "ESN" "Esan in Nigeria" "male" "child" "AFR"
"1719" "HG03193" "NG57" "ESN" "Esan in Nigeria" "male" "father" "AFR"
"1720" "HG03194" "NG57" "ESN" "Esan in Nigeria" "male" "child" "AFR"
"1721" "HG03195" "NG58" "ESN" "Esan in Nigeria" "female" "mother" "AFR"
"1722" "HG03196" "NG58" "ESN" "Esan in Nigeria" "male" "father" "AFR"
"1723" "HG03197" "NG58" "ESN" "Esan in Nigeria" "male" "child" "AFR"
"1724" "HG03198" "NG59" "ESN" "Esan in Nigeria" "female" "mother" "AFR"
"1725" "HG03199" "NG59" "ESN" "Esan in Nigeria" "male" "father" "AFR"
"1726" "HG03200" "NG59" "ESN" "Esan in Nigeria" "female" "child" "AFR"
"1727" "HG03202" "NG60" "ESN" "Esan in Nigeria" "male" "father" "AFR"
"1728" "HG03203" "NG60" "ESN" "Esan in Nigeria" "female" "child" "AFR"
"1729" "HG03209" "SL17" "MSL" "Mende in Sierra Leone" "male" "child" "AFR"
"1730" "HG03212" "SL18" "MSL" "Mende in Sierra Leone" "female" "child" "AFR"
"1731" "HG03224" "SL22" "MSL" "Mende in Sierra Leone" "male" "child" "AFR"
"1732" "HG03225" "SL23" "MSL" "Mende in Sierra Leone" "male" "father" "AFR"
"1733" "HG03228" "PK38" "PJL" "Punjabi in Lahore,Pakistan" "male" "father" "SAS"
"1734" "HG03229" "PK38" "PJL" "Punjabi in Lahore,Pakistan" "female" "mother" "SAS"
"1735" "HG03230" "PK38" "PJL" "Punjabi in Lahore,Pakistan" "female" "child" "SAS"
"1736" "HG03234" "PK40" "PJL" "Punjabi in Lahore,Pakistan" "male" "father" "SAS"
"1737" "HG03235" "PK40" "PJL" "Punjabi in Lahore,Pakistan" "female" "mother" "SAS"
"1738" "HG03236" "PK40" "PJL" "Punjabi in Lahore,Pakistan" "female" "child" "SAS"
"1739" "HG03237" "PK41" "PJL" "Punjabi in Lahore,Pakistan" "male" "father" "SAS"
"1740" "HG03238" "PK41" "PJL" "Punjabi in Lahore,Pakistan" "female" "mother" "SAS"
"1741" "HG03239" "PK41" "PJL" "Punjabi in Lahore,Pakistan" "female" "child" "SAS"
"1742" "HG03240" "GB114" "GWD" "Gambian in Western Division, The Gambia" "male" "father" "AFR"
"1743" "HG03241" "GB114" "GWD" "Gambian in Western Division, The Gambia" "female" "mother" "AFR"
"1744" "HG03242" "GB114" "GWD" "Gambian in Western Division, The Gambia" "male" "child" "AFR"
"1745" "HG03246" "GB116" "GWD" "Gambian in Western Division, The Gambia" "male" "father" "AFR"
"1746" "HG03247" "GB116" "GWD" "Gambian in Western Division, The Gambia" "female" "mother" "AFR"
"1747" "HG03248" "GB116" "GWD" "Gambian in Western Division, The Gambia" "male" "child" "AFR"
"1748" "HG03249" "GB117" "GWD" "Gambian in Western Division, The Gambia" "male" "father" "AFR"
"1749" "HG03250" "GB117" "GWD" "Gambian in Western Division, The Gambia" "female" "mother" "AFR"
"1750" "HG03251" "GB117" "GWD" "Gambian in Western Division, The Gambia" "female" "child" "AFR"
"1751" "HG03258" "GB120" "GWD" "Gambian in Western Division, The Gambia" "male" "father" "AFR"
"1752" "HG03259" "GB120" "GWD" "Gambian in Western Division, The Gambia" "female" "mother" "AFR"
"1753" "HG03260" "GB120" "GWD" "Gambian in Western Division, The Gambia" "male" "child" "AFR"
"1754" "HG03265" "NG63" "ESN" "Esan in Nigeria" "male" "father" "AFR"
"1755" "HG03266" "NG63" "ESN" "Esan in Nigeria" "female" "child" "AFR"
"1756" "HG03267" "NG64" "ESN" "Esan in Nigeria" "female" "mother" "AFR"
"1757" "HG03268" "NG64" "ESN" "Esan in Nigeria" "male" "father" "AFR"
"1758" "HG03269" "NG64" "ESN" "Esan in Nigeria" "male" "child" "AFR"
"1759" "HG03270" "NG65" "ESN" "Esan in Nigeria" "female" "mother" "AFR"
"1760" "HG03271" "NG65" "ESN" "Esan in Nigeria" "male" "father" "AFR"
"1761" "HG03272" "NG65" "ESN" "Esan in Nigeria" "female" "child" "AFR"
"1762" "HG03279" "NG68" "ESN" "Esan in Nigeria" "female" "mother" "AFR"
"1763" "HG03280" "NG68" "ESN" "Esan in Nigeria" "male" "father" "AFR"
"1764" "HG03291" "NG72" "ESN" "Esan in Nigeria" "female" "mother" "AFR"
"1765" "HG03293" "NG72" "ESN" "Esan in Nigeria" "male" "child" "AFR"
"1766" "HG03294" "NG73" "ESN" "Esan in Nigeria" "female" "mother" "AFR"
"1767" "HG03295" "NG73" "ESN" "Esan in Nigeria" "male" "father" "AFR"
"1768" "HG03296" "NG73" "ESN" "Esan in Nigeria" "male" "child" "AFR"
"1769" "HG03297" "NG74" "ESN" "Esan in Nigeria" "female" "mother" "AFR"
"1770" "HG03298" "NG74" "ESN" "Esan in Nigeria" "male" "father" "AFR"
"1771" "HG03299" "NG74" "ESN" "Esan in Nigeria" "male" "child" "AFR"
"1772" "HG03300" "NG75" "ESN" "Esan in Nigeria" "female" "mother" "AFR"
"1773" "HG03301" "NG75" "ESN" "Esan in Nigeria" "male" "father" "AFR"
"1774" "HG03302" "NG75" "ESN" "Esan in Nigeria" "male" "child" "AFR"
"1775" "HG03303" "NG76" "ESN" "Esan in Nigeria" "female" "mother" "AFR"
"1776" "HG03304" "NG76" "ESN" "Esan in Nigeria" "male" "father" "AFR"
"1777" "HG03305" "NG76" "ESN" "Esan in Nigeria" "female" "child" "AFR"
"1778" "HG03306" "NG77" "ESN" "Esan in Nigeria" "female" "mother" "AFR"
"1779" "HG03307" "NG77" "ESN" "Esan in Nigeria" "male" "father" "AFR"
"1780" "HG03308" "NG77" "ESN" "Esan in Nigeria" "male" "child" "AFR"
"1781" "HG03309" "NG78" "ESN" "Esan in Nigeria" "female" "mother" "AFR"
"1782" "HG03310" "NG78" "ESN" "Esan in Nigeria" "female" "child" "AFR"
"1783" "HG03311" "NG78" "ESN" "Esan in Nigeria" "male" "father" "AFR"
"1784" "HG03312" "NG79" "ESN" "Esan in Nigeria" "female" "mother" "AFR"
"1785" "HG03313" "NG79" "ESN" "Esan in Nigeria" "male" "father" "AFR"
"1786" "HG03314" "NG79" "ESN" "Esan in Nigeria" "male" "child" "AFR"
"1787" "HG03339" "NG88" "ESN" "Esan in Nigeria" "female" "mother" "AFR"
"1788" "HG03341" "NG88" "ESN" "Esan in Nigeria" "female" "child" "AFR"
"1789" "HG03342" "NG89" "ESN" "Esan in Nigeria" "female" "mother" "AFR"
"1790" "HG03343" "NG89" "ESN" "Esan in Nigeria" "male" "father" "AFR"
"1791" "HG03344" "NG89" "ESN" "Esan in Nigeria" "male" "child" "AFR"
"1792" "HG03350" "NG92" "ESN" "Esan in Nigeria" "male" "child" "AFR"
"1793" "HG03351" "NG92" "ESN" "Esan in Nigeria" "female" "mother" "AFR"
"1794" "HG03352" "NG92" "ESN" "Esan in Nigeria" "male" "father" "AFR"
"1795" "HG03354" "NG93" "ESN" "Esan in Nigeria" "female" "mother" "AFR"
"1796" "HG03361" "NG95" "ESN" "Esan in Nigeria" "male" "father" "AFR"
"1797" "HG03362" "NG95" "ESN" "Esan in Nigeria" "male" "child" "AFR"
"1798" "HG03363" "NG96" "ESN" "Esan in Nigeria" "female" "mother" "AFR"
"1799" "HG03365" "NG96" "ESN" "Esan in Nigeria" "male" "child" "AFR"
"1800" "HG03366" "NG97" "ESN" "Esan in Nigeria" "female" "mother" "AFR"
"1801" "HG03367" "NG97" "ESN" "Esan in Nigeria" "male" "father" "AFR"
"1802" "HG03368" "NG97" "ESN" "Esan in Nigeria" "male" "child" "AFR"
"1803" "HG03369" "NG98" "ESN" "Esan in Nigeria" "female" "mother" "AFR"
"1804" "HG03370" "NG98" "ESN" "Esan in Nigeria" "male" "father" "AFR"
"1805" "HG03371" "NG98" "ESN" "Esan in Nigeria" "male" "child" "AFR"
"1806" "HG03372" "NG99" "ESN" "Esan in Nigeria" "female" "mother" "AFR"
"1807" "HG03373" "NG99" "ESN" "Esan in Nigeria" "male" "father" "AFR"
"1808" "HG03374" "NG99" "ESN" "Esan in Nigeria" "female" "child" "AFR"
"1809" "HG03376" "SL24" "MSL" "Mende in Sierra Leone" "male" "father" "AFR"
"1810" "HG03378" "HG03378" "MSL" "Mende in Sierra Leone" "female" "unrel" "AFR"
"1811" "HG03380" "SL25" "MSL" "Mende in Sierra Leone" "female" "mother" "AFR"
"1812" "HG03381" "SL30" "MSL" "Mende in Sierra Leone" "female" "child" "AFR"
"1813" "HG03382" "SL26" "MSL" "Mende in Sierra Leone" "male" "father" "AFR"
"1814" "HG03383" "HG03383" "MSL" "Mende in Sierra Leone" "female" "unrel" "AFR"
"1815" "HG03384" "SL26" "MSL" "Mende in Sierra Leone" "female" "child" "AFR"
"1816" "HG03385" "SL27" "MSL" "Mende in Sierra Leone" "male" "father" "AFR"
"1817" "HG03388" "SL28" "MSL" "Mende in Sierra Leone" "male" "father" "AFR"
"1818" "HG03390" "SL28" "MSL" "Mende in Sierra Leone" "male" "child" "AFR"
"1819" "HG03391" "SL29" "MSL" "Mende in Sierra Leone" "male" "father" "AFR"
"1820" "HG03393" "HG03393" "MSL" "Mende in Sierra Leone" "female" "unrel" "AFR"
"1821" "HG03394" "SL30" "MSL" "Mende in Sierra Leone" "male" "father" "AFR"
"1822" "HG03397" "HG03397" "MSL" "Mende in Sierra Leone" "male" "unrels" "AFR"
"1823" "HG03398" "HG03398" "MSL" "Mende in Sierra Leone" "female" "unrels" "AFR"
"1824" "HG03399" "SL26" "MSL" "Mende in Sierra Leone" "male" "Child2" "AFR"
"1825" "HG03401" "SL32" "MSL" "Mende in Sierra Leone" "female" "mother" "AFR"
"1826" "HG03402" "SL32" "MSL" "Mende in Sierra Leone" "female" "child" "AFR"
"1827" "HG03408" "SL34" "MSL" "Mende in Sierra Leone" "male" "child" "AFR"
"1828" "HG03410" "SL35" "MSL" "Mende in Sierra Leone" "female" "mother" "AFR"
"1829" "HG03411" "SL35" "MSL" "Mende in Sierra Leone" "female" "child" "AFR"
"1830" "HG03419" "SL38" "MSL" "Mende in Sierra Leone" "female" "mother" "AFR"
"1831" "HG03428" "SL42" "MSL" "Mende in Sierra Leone" "female" "mother" "AFR"
"1832" "HG03431" "HG03431" "MSL" "Mende in Sierra Leone" "female" "unrel" "AFR"
"1833" "HG03432" "HG03432" "MSL" "Mende in Sierra Leone" "male" "unrel" "AFR"
"1834" "HG03433" "HG03433" "MSL" "Mende in Sierra Leone" "male" "unrel" "AFR"
"1835" "HG03436" "HG03436" "MSL" "Mende in Sierra Leone" "male" "unrels" "AFR"
"1836" "HG03437" "HG03437" "MSL" "Mende in Sierra Leone" "female" "unrels" "AFR"
"1837" "HG03438" "SL56" "MSL" "Mende in Sierra Leone" "female" "child" "AFR"
"1838" "HG03439" "SL46" "MSL" "Mende in Sierra Leone" "male" "father" "AFR"
"1839" "HG03442" "HG03442" "MSL" "Mende in Sierra Leone" "male" "unrel" "AFR"
"1840" "HG03445" "HG03445" "MSL" "Mende in Sierra Leone" "male" "unrels" "AFR"
"1841" "HG03446" "HG03446" "MSL" "Mende in Sierra Leone" "female" "unrels" "AFR"
"1842" "HG03449" "SL49" "MSL" "Mende in Sierra Leone" "female" "mother" "AFR"
"1843" "HG03450" "SL49" "MSL" "Mende in Sierra Leone" "female" "child" "AFR"
"1844" "HG03451" "SL50" "MSL" "Mende in Sierra Leone" "male" "father" "AFR"
"1845" "HG03452" "SL50" "MSL" "Mende in Sierra Leone" "female" "mother" "AFR"
"1846" "HG03453" "SL50" "MSL" "Mende in Sierra Leone" "female" "child" "AFR"
"1847" "HG03454" "SL51" "MSL" "Mende in Sierra Leone" "male" "father" "AFR"
"1848" "HG03455" "SL51" "MSL" "Mende in Sierra Leone" "female" "mother" "AFR"
"1849" "HG03456" "SL51" "MSL" "Mende in Sierra Leone" "male" "child" "AFR"
"1850" "HG03457" "HG03457" "MSL" "Mende in Sierra Leone" "male" "unrel" "AFR"
"1851" "HG03458" "SL52" "MSL" "Mende in Sierra Leone" "female" "mother" "AFR"
"1852" "HG03459" "SL52" "MSL" "Mende in Sierra Leone" "male" "child" "AFR"
"1853" "HG03460" "HG03460" "MSL" "Mende in Sierra Leone" "male" "unrels" "AFR"
"1854" "HG03461" "HG03461" "MSL" "Mende in Sierra Leone" "female" "unrels" "AFR"
"1855" "HG03462" "HG03462" "MSL" "Mende in Sierra Leone" "male" "unrel" "AFR"
"1856" "HG03464" "SL54" "MSL" "Mende in Sierra Leone" "female" "mother" "AFR"
"1857" "HG03465" "SL54" "MSL" "Mende in Sierra Leone" "male" "child" "AFR"
"1858" "HG03466" "SL50i" "MSL" "Mende in Sierra Leone" "male" "paternal father" "AFR"
"1859" "HG03468" "SL50i" "MSL" "Mende in Sierra Leone" "male" "paternal brother" "AFR"
"1860" "HG03469" "SL56i" "MSL" "Mende in Sierra Leone" "male" "father" "AFR"
"1861" "HG03470" "SL56" "MSL" "Mende in Sierra Leone" "female" "mother" "AFR"
"1862" "HG03471" "SL56i" "MSL" "Mende in Sierra Leone" "male" "Child2" "AFR"
"1863" "HG03472" "HG03472" "MSL" "Mende in Sierra Leone" "male" "unrel" "AFR"
"1864" "HG03473" "SL57" "MSL" "Mende in Sierra Leone" "female" "mother" "AFR"
"1865" "HG03474" "SL57" "MSL" "Mende in Sierra Leone" "male" "child" "AFR"
"1866" "HG03476" "SL58" "MSL" "Mende in Sierra Leone" "female" "mother" "AFR"
"1867" "HG03477" "SL58" "MSL" "Mende in Sierra Leone" "male" "child" "AFR"
"1868" "HG03478" "SL59" "MSL" "Mende in Sierra Leone" "male" "father" "AFR"
"1869" "HG03479" "SL59" "MSL" "Mende in Sierra Leone" "female" "mother" "AFR"
"1870" "HG03480" "SL59" "MSL" "Mende in Sierra Leone" "female" "child" "AFR"
"1871" "HG03484" "SL61" "MSL" "Mende in Sierra Leone" "male" "father" "AFR"
"1872" "HG03485" "SL61" "MSL" "Mende in Sierra Leone" "female" "mother" "AFR"
"1873" "HG03486" "SL61" "MSL" "Mende in Sierra Leone" "female" "child" "AFR"
"1874" "HG03487" "PK42" "PJL" "Punjabi in Lahore,Pakistan" "male" "father" "SAS"
"1875" "HG03488" "PK42" "PJL" "Punjabi in Lahore,Pakistan" "female" "mother" "SAS"
"1876" "HG03489" "PK42" "PJL" "Punjabi in Lahore,Pakistan" "male" "child" "SAS"
"1877" "HG03490" "PK43" "PJL" "Punjabi in Lahore,Pakistan" "male" "father" "SAS"
"1878" "HG03491" "PK43" "PJL" "Punjabi in Lahore,Pakistan" "female" "mother" "SAS"
"1879" "HG03492" "PK43" "PJL" "Punjabi in Lahore,Pakistan" "male" "child" "SAS"
"1880" "HG03493" "NG100" "ESN" "Esan in Nigeria" "female" "mother" "AFR"
"1881" "HG03499" "NG102" "ESN" "Esan in Nigeria" "female" "" "AFR"
"1882" "HG03508" "NG105" "ESN" "Esan in Nigeria" "female" "mother" "AFR"
"1883" "HG03510" "NG105" "ESN" "Esan in Nigeria" "female" "child" "AFR"
"1884" "HG03511" "NG106" "ESN" "Esan in Nigeria" "female" "mother" "AFR"
"1885" "HG03513" "NG106" "ESN" "Esan in Nigeria" "male" "child" "AFR"
"1886" "HG03514" "NG107" "ESN" "Esan in Nigeria" "female" "mother" "AFR"
"1887" "HG03515" "NG107" "ESN" "Esan in Nigeria" "male" "father" "AFR"
"1888" "HG03516" "NG107" "ESN" "Esan in Nigeria" "female" "child" "AFR"
"1889" "HG03517" "NG108" "ESN" "Esan in Nigeria" "female" "mother" "AFR"
"1890" "HG03518" "NG108" "ESN" "Esan in Nigeria" "male" "father" "AFR"
"1891" "HG03519" "NG108" "ESN" "Esan in Nigeria" "male" "child" "AFR"
"1892" "HG03520" "NG109" "ESN" "Esan in Nigeria" "female" "mother" "AFR"
"1893" "HG03521" "NG109" "ESN" "Esan in Nigeria" "male" "father" "AFR"
"1894" "HG03522" "NG109" "ESN" "Esan in Nigeria" "female" "child" "AFR"
"1895" "HG03538" "GB125" "GWD" "Gambian in Western Division, The Gambia" "male" "father" "AFR"
"1896" "HG03539" "GB125" "GWD" "Gambian in Western Division, The Gambia" "female" "mother" "AFR"
"1897" "HG03540" "GB125" "GWD" "Gambian in Western Division, The Gambia" "female" "child" "AFR"
"1898" "HG03547" "HG03547" "MSL" "Mende in Sierra Leone" "male" "unrels" "AFR"
"1899" "HG03548" "HG03548" "MSL" "Mende in Sierra Leone" "female" "unrels" "AFR"
"1900" "HG03549" "HG03549" "MSL" "Mende in Sierra Leone" "female" "unrel" "AFR"
"1901" "HG03556" "HG03556" "MSL" "Mende in Sierra Leone" "male" "unrels" "AFR"
"1902" "HG03557" "HG03557" "MSL" "Mende in Sierra Leone" "female" "unrels" "AFR"
"1903" "HG03558" "HG03558" "MSL" "Mende in Sierra Leone" "female" "unrel" "AFR"
"1904" "HG03559" "SL66" "MSL" "Mende in Sierra Leone" "male" "father" "AFR"
"1905" "HG03563" "SL67" "MSL" "Mende in Sierra Leone" "female" "mother" "AFR"
"1906" "HG03564" "SL67" "MSL" "Mende in Sierra Leone" "female" "child" "AFR"
"1907" "HG03565" "HG03565" "MSL" "Mende in Sierra Leone" "male" "unrel" "AFR"
"1908" "HG03566" "HG03566" "MSL" "Mende in Sierra Leone" "female" "unrel" "AFR"
"1909" "HG03567" "HG03567" "MSL" "Mende in Sierra Leone" "female" "unrel" "AFR"
"1910" "HG03569" "SL69" "MSL" "Mende in Sierra Leone" "female" "mother" "AFR"
"1911" "HG03571" "SL70" "MSL" "Mende in Sierra Leone" "male" "father" "AFR"
"1912" "HG03572" "SL70" "MSL" "Mende in Sierra Leone" "female" "mother" "AFR"
"1913" "HG03574" "SL71" "MSL" "Mende in Sierra Leone" "male" "father" "AFR"
"1914" "HG03575" "SL71" "MSL" "Mende in Sierra Leone" "female" "mother" "AFR"
"1915" "HG03576" "SL71" "MSL" "Mende in Sierra Leone" "female" "child" "AFR"
"1916" "HG03577" "SL72" "MSL" "Mende in Sierra Leone" "male" "father" "AFR"
"1917" "HG03578" "SL72" "MSL" "Mende in Sierra Leone" "female" "mother" "AFR"
"1918" "HG03579" "SL72" "MSL" "Mende in Sierra Leone" "male" "child" "AFR"
"1919" "HG03582" "SL73" "MSL" "Mende in Sierra Leone" "male" "father" "AFR"
"1920" "HG03583" "SL73" "MSL" "Mende in Sierra Leone" "female" "mother" "AFR"
"1921" "HG03584" "SL73" "MSL" "Mende in Sierra Leone" "female" "child" "AFR"
"1922" "HG03585" "BD4" "BEB" "Bengali in Bangladesh" "male" "father" "SAS"
"1923" "HG03587" "BD4" "BEB" "Bengali in Bangladesh" "female" "child" "SAS"
"1924" "HG03589" "BD05" "BEB" "Bengali in Bangladesh" "female" "mother" "SAS"
"1925" "HG03590" "BD05" "BEB" "Bengali in Bangladesh" "male" "child" "SAS"
"1926" "HG03593" "BD6" "BEB" "Bengali in Bangladesh" "male" "child" "SAS"
"1927" "HG03594" "BD7" "BEB" "Bengali in Bangladesh" "male" "father" "SAS"
"1928" "HG03595" "BD7" "BEB" "Bengali in Bangladesh" "female" "mother" "SAS"
"1929" "HG03596" "BD7" "BEB" "Bengali in Bangladesh" "male" "child" "SAS"
"1930" "HG03598" "BD8" "BEB" "Bengali in Bangladesh" "female" "mother" "SAS"
"1931" "HG03599" "BD8" "BEB" "Bengali in Bangladesh" "female" "child" "SAS"
"1932" "HG03600" "BD09" "BEB" "Bengali in Bangladesh" "male" "father" "SAS"
"1933" "HG03602" "BD09" "BEB" "Bengali in Bangladesh" "male" "child" "SAS"
"1934" "HG03603" "BD10" "BEB" "Bengali in Bangladesh" "male" "father" "SAS"
"1935" "HG03604" "BD10" "BEB" "Bengali in Bangladesh" "female" "mother" "SAS"
"1936" "HG03605" "BD11" "BEB" "Bengali in Bangladesh" "female" "child" "SAS"
"1937" "HG03606" "BD11" "BEB" "Bengali in Bangladesh" "male" "father" "SAS"
"1938" "HG03607" "BD11" "BEB" "Bengali in Bangladesh" "female" "mother" "SAS"
"1939" "HG03611" "BD12" "BEB" "Bengali in Bangladesh" "female" "child" "SAS"
"1940" "HG03615" "BD14" "BEB" "Bengali in Bangladesh" "male" "father" "SAS"
"1941" "HG03616" "BD14" "BEB" "Bengali in Bangladesh" "female" "mother" "SAS"
